,price,load_actual,Solar,Wind_Onshore,Wind_Offshore,residual_load,re_penetration,wind_share,solar_share,hour_cos,solar_peak_impact,price_lag_24h,price_lag_168h,hour_sin,is_weekend
2025-12-22 21:00:00+01:00,91.64,57412.5926,9.170064,20400.46434,6287.919,30715.039196000005,0.4650121549118128,0.46485243273964255,0.00015972217217029142,0.7071067811865474,6.484214438314635,83.51,87.36,-0.7071067811865477,0
2025-12-22 22:00:00+01:00,91.68,55363.97101,7.409112,19739.045128,6647.47,28970.046769999997,0.47673466621880606,0.4766008407025933,0.00013382551621273238,0.8660254037844384,6.416479211484128,83.4,92.0,-0.5000000000000004,0
2025-12-22 23:00:00+01:00,89.0,51356.48016,7.31742,20282.97664,6692.974,24373.212099999997,0.5254111647825983,0.5252686818870183,0.0001424828955801242,0.9659258262890681,7.068084959804153,78.03,81.9,-0.25881904510252157,0
2025-12-23 00:00:00+01:00,80.33,47385.1801,7.664028,20980.157812,6665.147,19732.211259999996,0.583578426454055,0.5834166875309609,0.0001617389230942271,1.0,7.664028,72.5,80.91,0.0,0
2025-12-23 01:00:00+01:00,66.6,44931.93887,8.088788,22490.855664,7012.629,15420.365417999998,0.6568061426724718,0.6566261195485331,0.00018002312393869773,0.9659258262890683,7.813169232577099,71.27,82.17,0.25881904510252074,0
2025-12-23 02:00:00+01:00,64.1,44234.31771,7.942844,23713.851868,6999.193,13513.329998000001,0.6945057435588058,0.6943261806219007,0.00017956293690508016,0.8660254037844387,6.8787046822968065,69.22,77.84,0.49999999999999994,0
2025-12-23 03:00:00+01:00,59.53,43877.69737,8.581356,24071.713788,6903.273,12894.129226000001,0.7061347791961399,0.7059392047582282,0.00019557443791175862,0.7071067811865476,6.0679350193758665,65.92,77.41,0.7071067811865476,0
2025-12-23 04:00:00+01:00,58.37,44399.10118,9.045396,25126.016464,6798.098,12465.941319999998,0.719229872031387,0.719026142772019,0.00020372925936785823,0.5000000000000001,4.522698000000001,70.97,78.08,0.8660254037844386,0
2025-12-23 05:00:00+01:00,58.21,45887.44146,8.324536,25822.933132,6814.549,13241.634792000004,0.7114322705583245,0.7112508584827077,0.00018141207561673454,0.25881904510252074,2.1545484584415577,70.44,78.6,0.9659258262890683,0
2025-12-23 06:00:00+01:00,63.59,49772.8597,8.503888,27553.84854,7146.594,15063.913272000005,0.6973468399686907,0.6971759860524951,0.00017085391619561693,6.123233995736766e-17,5.207129609753794e-16,71.37,80.29,1.0,0
2025-12-23 07:00:00+01:00,72.08,54231.78963,21.69492,28353.40218,6626.546,19230.146529999998,0.6454082253010834,0.6450081846579844,0.00040004064309909443,-0.25881904510252063,-5.615058477975577,80.9,89.91,0.9659258262890683,0
2025-12-23 08:00:00+01:00,79.2,58581.71695,20.352076,29117.59132,6825.916,22617.857554000002,0.6139092752555454,0.6135618618122458,0.00034741344329956516,-0.4999999999999998,-10.176037999999995,88.57,100.54,0.8660254037844387,0
2025-12-23 09:00:00+01:00,85.38,61387.80734,490.740684,28772.135244,6615.985,25508.946411999998,0.584462330268335,0.5764682235350223,0.007994106733312752,-0.7071067811865475,-347.0060654605246,93.55,108.42,0.7071067811865476,0
2025-12-23 10:00:00+01:00,84.82,61920.84231,1829.557384,27516.582504,6589.58,25985.122422,0.5803493387265584,0.550802625281665,0.02954671344489338,-0.8660254037844387,-1584.4431722254014,101.54,100.69,0.49999999999999994,0
2025-12-23 11:00:00+01:00,86.11,62903.75081,3167.224304,27626.982188,6745.765,25363.779317999994,0.5967843094983163,0.5464339843870751,0.05035032511124117,-0.9659258262890682,-3059.3037528840186,86.43,91.58,0.258819045102521,0
2025-12-23 12:00:00+01:00,83.33,63977.31001,3889.195604,27381.067524,7036.34,25670.706882,0.5987529504133962,0.5379627170729805,0.060790233340415493,-1.0,-3889.195604,87.72,89.72,1.2246467991473532e-16,0
2025-12-23 13:00:00+01:00,80.86,64003.5103,3655.287648,27692.070072,7550.401,25105.751580000004,0.6077441461831821,0.5506334091178746,0.05711073706530749,-0.9659258262890683,-3530.736741718625,90.0,87.76,-0.2588190451025208,0
2025-12-23 14:00:00+01:00,76.59,62953.46458,2523.9801,28497.068444,7625.083,24307.333035999996,0.6138841095058283,0.5737913184761531,0.04009279102967521,-0.8660254037844388,-2185.8308852463883,91.07,100.83,-0.4999999999999997,0
2025-12-23 15:00:00+01:00,76.15,62491.98507,896.60162,28944.728696,7853.869,24796.785754000004,0.6032005428180264,0.5888530769950784,0.014347465822947972,-0.7071067811865479,-633.9930855248444,91.55,122.14,-0.7071067811865471,0
2025-12-23 16:00:00+01:00,81.81,62614.63733,67.87952,30459.319776,7804.726,24282.712033999996,0.6121879312975652,0.611103847401299,0.0010840838962661767,-0.5000000000000004,-33.93976000000003,94.53,140.01,-0.8660254037844385,0
