,price,load_actual,Solar,Wind_Onshore,Wind_Offshore,residual_load,re_penetration,wind_share,solar_share,hour_cos,solar_peak_impact,price_lag_24h,price_lag_168h,hour_sin,is_weekend,pred_baseline,pred_xgboost
2026-01-16 00:00:00+01:00,89.62,54730.78133,4.493,30215.60197,6350.624,18160.06236,0.6681928903864235,0.6681107976428007,8.209274362281429e-05,1.0,4.493,110.34,95.56,0.0,0,95.56,55.847427
2026-01-16 01:00:00+01:00,78.99,52448.82233,4.451,30843.51129,6424.342,15176.518040000004,0.710641395444274,0.7105565317656961,8.486367857785224e-05,0.9659258262890684,4.299335852812643,98.48,75.48,0.2588190451025207,0,75.48,58.25809
2026-01-16 02:00:00+01:00,72.88,51527.0984,3.848,31391.34243,6666.519,13465.38897,0.7386736418676353,0.7385989627158979,7.467915173737009e-05,0.8660254037844387,3.33246575376252,94.23,64.21,0.4999999999999999,0,64.21,52.143726
2026-01-16 03:00:00+01:00,67.46,51482.88586,3.972,31795.9708,6164.233,13518.710060000005,0.7374135145267087,0.7373363626745224,7.715185218639955e-05,0.7071067811865476,2.808628134872967,86.56,55.75,0.7071067811865476,0,55.75,50.5067
2026-01-16 04:00:00+01:00,68.91,52813.84125,2.195,31895.99675,6425.524,14490.125500000002,0.7256377275909656,0.7255961665162918,4.156107467377219e-05,0.5000000000000001,1.0975,82.52,45.81,0.8660254037844386,0,45.81,51.704308
2026-01-16 05:00:00+01:00,75.54,55991.8738,1.975,31662.03794,5400.838,18927.022860000005,0.6619683969211975,0.6619331239455679,3.527297562954573e-05,0.2588190451025207,0.5111676140774785,84.0,49.91,0.9659258262890684,0,49.91,56.203274
2026-01-16 06:00:00+01:00,82.21,62379.69732,2.088,32987.94434,5313.047,24076.617979999995,0.6140311829906776,0.6139977105615106,3.3472429166958326e-05,6.123233995736766e-17,1.2785312583098366e-16,93.61,65.02,1.0,0,65.02,75.14312
2026-01-16 07:00:00+01:00,94.39,69037.1914,5.803,31283.30949,5047.572,32700.50691,0.5263349182249613,0.5262508620824341,8.405614252725814e-05,-0.2588190451025206,-1.5019269187299271,100.71,77.25,0.9659258262890684,0,77.25,89.528984
2026-01-16 08:00:00+01:00,103.25,72965.07747,51.09,29094.47943,5707.973,38111.53504,0.4776743017141348,0.476974103732148,0.0007001979819867,-0.4999999999999998,-25.54499999999999,105.0,87.17,0.8660254037844387,0,87.17,100.51225
2026-01-16 09:00:00+01:00,119.03,73358.32883,4305.243,25679.94904,5946.103,37427.03379,0.4898052561048234,0.4311174006334026,0.0586878554714207,-0.7071067811865475,-3044.266519955916,106.77,91.28,0.7071067811865476,0,91.28,100.52859
2026-01-16 10:00:00+01:00,108.82,72946.39416,11480.543,22284.57053,5929.451,33251.82962999999,0.5441607496449281,0.3867774665888983,0.1573832830560298,-0.8660254037844387,-9942.44188723961,107.29,93.49,0.4999999999999999,0,93.49,93.96054
2026-01-16 11:00:00+01:00,102.19,71547.5874,17936.747,17575.40623,5482.562,30552.87217000001,0.5729713148930021,0.3222745737195884,0.2506967411734137,-0.9659258262890682,-17325.567166912966,101.67,88.94,0.258819045102521,0,88.94,84.89667
2026-01-16 12:00:00+01:00,97.13,70448.09513,20829.959,13931.66369,5148.786,30537.686440000005,0.5665221836921511,0.2708440825091192,0.2956781011830319,-1.0,-20829.959,96.51,83.83,1.2246467991473532e-16,0,83.83,83.876396
